latencia,287,316,292 
 mh,0,0,0 
 clonados,45917665,46448797,46845914 
 pkts,45917665,46448796,46845915 
TX,139212376,RX,139212376,CLONE_E2I,139212376,DROP,91
latencia,276,331,283 
 mh,0,0,0 
 clonados,45936556,46435813,46840007 
 pkts,45936555,46435814,46840007 
TX,139212376,RX,139212376,CLONE_E2I,139212376,DROP,99
latencia,283,341,283 
 mh,0,0,0 
 clonados,45822660,46400211,46987374 
 pkts,45822659,46400211,46987375 
TX,139210245,RX,139210245,CLONE_E2I,139210245,DROP,93
latencia,259,307,288 
 mh,0,0,0 
 clonados,45939185,46391491,46879653 
 pkts,45939183,46391493,46879653 
TX,139210329,RX,139210329,CLONE_E2I,139210329,DROP,89
latencia,264,334,281 
 mh,0,0,0 
 clonados,45987314,46417042,46805973 
 pkts,45987314,46417042,46805973 
TX,139210329,RX,139210329,CLONE_E2I,139210329,DROP,95
latencia,277,386,281 
 mh,0,0,0 
 clonados,45859993,46410408,46933787 
 pkts,45859993,46410408,46933787 
TX,139204188,RX,139204188,CLONE_E2I,139204188,DROP,95
latencia,297,309,284 
 mh,0,0,0 
 clonados,45847563,46474246,46888520 
 pkts,45847563,46474244,46888522 
TX,139210329,RX,139210329,CLONE_E2I,139210329,DROP,99
latencia,279,407,270 
 mh,0,0,0 
 clonados,45874909,46437594,46883497 
 pkts,45874908,46437594,46883498 
TX,139196000,RX,139196000,CLONE_E2I,139196000,DROP,94
latencia,280,329,280 
 mh,0,0,0 
 clonados,45905807,46479877,46824645 
 pkts,45905807,46479877,46824645 
TX,139210329,RX,139210329,CLONE_E2I,139210329,DROP,92
latencia,289,365,297 
 mh,0,0,0 
 clonados,45941889,46369666,46900821 
 pkts,45941886,46369669,46900821 
TX,139212376,RX,139212376,CLONE_E2I,139212376,DROP,103
