latencia,322,331,326 
 mh,0,0,0 
 clonados,13946848,9608403,14257835 
 pkts,64452674,69023000,65879609 
TX,199355283,RX,199355283,CLONE_E2I,37813086,DROP,93
latencia,333,326,321 
 mh,0,0,0 
 clonados,13936590,9605089,14290472 
 pkts,64403949,68869200,66073946 
TX,199347095,RX,199347095,CLONE_E2I,37832151,DROP,90
latencia,317,332,327 
 mh,0,0,0 
 clonados,13947512,9591191,14267890 
 pkts,64453387,68971351,65932592 
TX,199357330,RX,199357330,CLONE_E2I,37806593,DROP,97
latencia,317,331,312 
 mh,0,0,0 
 clonados,13953726,9594821,14265448 
 pkts,64485193,68941497,65928593 
TX,199355283,RX,199355283,CLONE_E2I,37813995,DROP,92
latencia,324,333,327 
 mh,0,0,0 
 clonados,13977601,9565524,14267626 
 pkts,64595971,68827660,65931652 
TX,199355283,RX,199355283,CLONE_E2I,37810751,DROP,93
latencia,316,329,317 
 mh,0,0,0 
 clonados,13958399,9591919,14265665 
 pkts,64506350,68928857,65918029 
TX,199353236,RX,199353236,CLONE_E2I,37815983,DROP,95
latencia,315,329,320 
 mh,0,0,0 
 clonados,13953016,9569563,14289864 
 pkts,64477139,68810252,66067892 
TX,199355283,RX,199355283,CLONE_E2I,37812443,DROP,94
latencia,325,329,323 
 mh,0,0,0 
 clonados,13961287,9575791,14276994 
 pkts,64519769,68818517,66014950 
TX,199353236,RX,199353236,CLONE_E2I,37814072,DROP,94
latencia,315,324,324 
 mh,0,0,0 
 clonados,13980588,9588788,14246710 
 pkts,64602513,68897290,65853433 
TX,199353236,RX,199353236,CLONE_E2I,37816086,DROP,96
latencia,318,331,331 
 mh,0,0,0 
 clonados,13938301,9587487,14286651 
 pkts,64415604,68904536,66035143 
TX,199355283,RX,199355283,CLONE_E2I,37812439,DROP,96
